
----- New Logging Session Started -----
Timestamp,Level,Task,Message

----- New Logging Session Started -----
Timestamp,Level,Task,Message

----- New Logging Session Started -----
Timestamp,Level,Task,Message

----- New Logging Session Started -----
Timestamp,Level,Task,Message
1073,ERROR,loopTask,SYSTEM RESTART DETECTED - this message should appear only once after power-up
8476,ERROR,ControlTask,ControlTask time, 0
8479,ERROR,NavTask,NavigationTask time, 0
8539,ERROR,GNSSTask,GNSS checkUblox time, 1
8576,ERROR,ControlTask,ControlTask time, 0
8579,ERROR,NavTask,NavigationTask time, 0
8640,ERROR,GNSSTask,GNSS checkUblox time, 1
8676,ERROR,ControlTask,ControlTask time, 0
8679,ERROR,NavTask,NavigationTask time, 0
8741,ERROR,GNSSTask,GNSS checkUblox time, 1
8776,ERROR,ControlTask,ControlTask time, 0
8779,ERROR,NavTask,NavigationTask time, 0
8842,ERROR,GNSSTask,GNSS checkUblox time, 1
8876,ERROR,ControlTask,ControlTask time, 0
8879,ERROR,NavTask,NavigationTask time, 0
8881,ERROR,GGATask,GGATask time, 1
8943,ERROR,GNSSTask,GNSS checkUblox time, 1
8976,ERROR,ControlTask,ControlTask time, 0
8979,ERROR,NavTask,NavigationTask time, 0
9044,ERROR,GNSSTask,GNSS checkUblox time, 1
9076,ERROR,ControlTask,ControlTask time, 0
9079,ERROR,NavTask,NavigationTask time, 0
9145,ERROR,GNSSTask,GNSS checkUblox time, 1
9176,ERROR,ControlTask,ControlTask time, 0
9179,ERROR,NavTask,NavigationTask time, 0
9246,ERROR,GNSSTask,GNSS checkUblox time, 1
9276,ERROR,ControlTask,ControlTask time, 0
9279,ERROR,NavTask,NavigationTask time, 0
9347,ERROR,GNSSTask,GNSS checkUblox time, 1
9376,ERROR,ControlTask,ControlTask time, 0
9379,ERROR,NavTask,NavigationTask time, 0
9448,ERROR,GNSSTask,GNSS checkUblox time, 1
9476,ERROR,ControlTask,ControlTask time, 0
9479,ERROR,NavTask,NavigationTask time, 0
9549,ERROR,GNSSTask,GNSS checkUblox time, 1
9576,ERROR,ControlTask,ControlTask time, 0
9579,ERROR,NavTask,NavigationTask time, 0
9650,ERROR,GNSSTask,GNSS checkUblox time, 1
9676,ERROR,ControlTask,ControlTask time, 0
9679,ERROR,NavTask,NavigationTask time, 0
9751,ERROR,GNSSTask,GNSS checkUblox time, 1
9776,ERROR,ControlTask,ControlTask time, 0
9779,ERROR,NavTask,NavigationTask time, 0
9852,ERROR,GNSSTask,GNSS checkUblox time, 1
9876,ERROR,ControlTask,ControlTask time, 0
